question,summary_answer,difficulty,intent,filename
Evidently custom metrics guide,"This article serves as a comprehensive guide for implementing custom metrics in Evidently, touching on both necessary calculations and optional visualizations.",beginner,text,metrics/customize_metric.mdx
advanced custom metric visualization with Plotly,The article discusses customizing metric visualizations using Plotly and assumes familiarity with the codebase for advanced implementations.,advanced,code,metrics/customize_metric.mdx
classification metrics explained,"The article explains various classification metrics including accuracy, precision, and recall, highlighting their importance for model evaluation.",beginner,text,metrics/explainer_classification.mdx
How to calculate F1-score,"It outlines how to compute the F1-score and its significance in assessing model performance, especially in imbalanced datasets.",intermediate,code,metrics/explainer_classification.mdx
ROC curve definition and purpose,The article defines the ROC curve and explains its use in visualizing the tradeoff between true positive rates and false positive rates at various thresholds.,beginner,text,metrics/explainer_classification.mdx
visualize confusion matrix in Python,It provides code examples for visualizing confusion matrices using accompanied charts to help analyze classification errors.,intermediate,code,metrics/explainer_classification.mdx
importance of precision-recall curve,The article elaborates on the precision-recall curve and its relevance in understanding the balance between precision and recall for different classification thresholds.,beginner,text,metrics/explainer_classification.mdx
using Evidently for model evaluation,The document explains how to utilize Evidently's tools for conducting thorough model performance analysis and generating reports.,intermediate,code,metrics/explainer_classification.mdx
class representation in classification metrics,"The article discusses how class representation metrics can illustrate the distribution of objects across different classes, aiding in performance analysis.",beginner,text,metrics/explainer_classification.mdx
advanced metrics for model quality,It touches on advanced concepts like quality metrics by class and how to leverage them for detailed model assessments.,advanced,text,metrics/explainer_classification.mdx
dataset overview statistics,"The article provides insights into dataset overviews, highlighting missing features and general information essential for assessing data quality.",beginner,text,metrics/explainer_data_stats.mdx
feature visualizations in data quality,"This section details how feature widgets visualize data, showing statistical summaries and distributions for various feature types including categorical and numerical.",beginner,code,metrics/explainer_data_stats.mdx
missing values percentage in dataset,The article explains how to identify missing values in datasets and their implications for data quality assessments.,beginner,text,metrics/explainer_data_stats.mdx
numerical feature distribution visualization,"The article illustrates how numerical features can be visualized for better understanding of their distribution within a dataset, helping to identify patterns and outliers.",intermediate,code,metrics/explainer_data_stats.mdx
categorical feature analysis,It offers insights into analyzing categorical features through specific visualizations that help in understanding their relationships with other variables.,intermediate,code,metrics/explainer_data_stats.mdx
correlation between features,"This part of the article discusses how correlation widgets analyze relationships between different features, providing insights that can affect decision-making.",advanced,text,metrics/explainer_data_stats.mdx
how to visualize quality metrics in Evidently,"The article provides examples of how to implement visualizations for quality metrics using Evidently, showcasing multiple widget functionalities.",advanced,code,metrics/explainer_data_stats.mdx
data drift detection methods,"The article explains various methods for detecting data drift, including statistical tests that compare distributions between datasets.",beginner,text,metrics/explainer_drift.mdx
how to detect data drift in datasets,Evidently compares distributions of two datasets to detect data drift using various statistical tests based on column types.,beginner,code,metrics/explainer_drift.mdx
Evidently data drift examples,The article includes examples of how to implement data drift detection using Evidently's library for various data types.,intermediate,code,metrics/explainer_drift.mdx
default drift detection logic,It details the default logic used by Evidently for choosing appropriate drift detection tests depending on column characteristics.,intermediate,text,metrics/explainer_drift.mdx
drift detection for categorical data,The article specifically outlines how Evidently applies tests like the chi-squared test for categorical columns to detect drift.,intermediate,code,metrics/explainer_drift.mdx
requirements for data drift analysis,"To analyze data drift, two non-empty datasets must be provided: one as a reference and the other as current, as explained in the article.",beginner,text,metrics/explainer_drift.mdx
statistical tests for data drift,The article highlights specific statistical tests such as the Kolmogorov-Smirnov test and Wasserstein Distance used for various data conditions.,advanced,code,metrics/explainer_drift.mdx
ROC AUC for text data drift,"It describes how the ROC AUC score of a domain classifier is used to detect drift in text data, with specific thresholds for large and small datasets.",advanced,code,metrics/explainer_drift.mdx
Recall at K definition,"Recall at K measures the proportion of relevant items retrieved in the top K results, helping assess a recommendation system's effectiveness.",beginner,text,metrics/explainer_recsys.mdx
How to compute Precision at K,"Precision at K is calculated by finding the ratio of relevant items in the top K results to the total items in that top K, indicating the relevance of suggestions made by the system.",beginner,code,metrics/explainer_recsys.mdx
F Beta score explained,"The F Beta score at K combines precision and recall into one metric, allowing for a balanced evaluation of a recommender system's performance based on user preferences.",intermediate,text,metrics/explainer_recsys.mdx
Mean Average Precision calculation sample,Mean Average Precision (MAP) at K is computed by averaging the precision scores of all relevant items in the top K results across all users or queries.,intermediate,code,metrics/explainer_recsys.mdx
What is NDCG and its importance,"NDCG (Normalized Discounted Cumulative Gain) is a metric that evaluates the ranking quality by comparing the actual ranked list to an ideal ordering of items, emphasizing the importance of position.",beginner,text,metrics/explainer_recsys.mdx
Hit Rate evaluation method,"Hit Rate measures the proportion of users for whom at least one relevant item is included in the top K results, indicating how well the system meets user needs.",intermediate,code,metrics/explainer_recsys.mdx
How to use MAR in evaluations,Mean Average Recall (MAR) measures the retrieval effectiveness across multiple users by averaging recall scores at relevant positions within the top K results.,intermediate,code,metrics/explainer_recsys.mdx
Understanding Score Distribution in recsys,"Score Distribution evaluates the entropy of predicted item scores, providing insight into the diversity of the recommendations made by the system.",advanced,text,metrics/explainer_recsys.mdx
Examples of ranking metrics in recommender systems,"Ranking metrics such as Recall, Precision, and MAP are critical for assessing how effectively a recommendation system performs in returning relevant results.",beginner,text,metrics/explainer_recsys.mdx
MRR calculation formula,"Mean Reciprocal Rank (MRR) calculates the average rank position of the first relevant item in recommendation lists, providing insight into ranking quality.",intermediate,code,metrics/explainer_recsys.mdx
mean absolute error calculation,The article explains how to calculate Mean Absolute Error (MAE) as part of standard model quality metrics in regression analysis.,beginner,code,metrics/explainer_regression.mdx
visualization of predicted vs actual values,The article describes how to use scatter plots to visualize the differences between predicted and actual values in regression models.,beginner,code,metrics/explainer_regression.mdx
standard deviation in regression metrics,It discusses how standard deviation is used alongside metrics like Mean Error to assess the stability of model performance.,intermediate,text,metrics/explainer_regression.mdx
error distribution in regression models,"The article provides insights on visualizing the distribution of model error values, which helps in assessing model accuracy.",intermediate,code,metrics/explainer_regression.mdx
how to analyze regression errors,"The article suggests using various plots and metrics to analyze model errors, helping to identify improvement areas.",beginner,text,metrics/explainer_regression.mdx
Q-Q plot for error normality,It covers the use of Q-Q plots to estimate the normality of error distributions in regression output.,advanced,text,metrics/explainer_regression.mdx
calculate absolute percentage error,The article details how to compute Absolute Percentage Error (APE) as part of evaluating regression model accuracy.,beginner,code,metrics/explainer_regression.mdx
error bias per feature analysis,It explains how to visualize error bias for each feature to uncover potential relationships with high error occurrences.,intermediate,code,metrics/explainer_regression.mdx
features affecting regression model accuracy,"The article delves into identifying features that significantly impact regression model accuracy, using error bias tables and plots.",advanced,text,metrics/explainer_regression.mdx
classification quality preset example,"The article includes code examples showing how to implement the ClassificationPreset for evaluating performance metrics on datasets, illustrating its usage with sample code snippets.",beginner,code,metrics/preset_classification.mdx
how to customize classification report,"It describes various ways to customize the classification report, including changing test conditions and modifying report compositions to include additional metrics like Correlations and Data Drift.",intermediate,code,metrics/preset_classification.mdx
classification metrics explained,"The article outlines several key metrics used in classification tasks, such as Accuracy, Precision, Recall, and F1-score, providing an overview of their importance in evaluating model performance.",beginner,text,metrics/preset_classification.mdx
data drift evaluation example,"The article provides a code example on how to evaluate data drift using the DataDriftPreset, showing how to run a report on current and reference datasets.",beginner,code,metrics/preset_data_drift.mdx
how to customize data drift report,"It explains various ways to customize a data drift report, such as selecting specific columns, changing drift detection methods, and modifying thresholds for evaluations.",intermediate,code,metrics/preset_data_drift.mdx
understanding target prediction drift,"The article outlines how the DataDriftPreset evaluates both target and prediction drift, providing insights into shifts in target values alongside feature changes.",beginner,text,metrics/preset_data_drift.mdx
data drift prerequisites,"Before using the DataDriftPreset, users need to know how to prepare data and create reports, which are briefly mentioned in the article as prerequisites.",beginner,text,metrics/preset_data_drift.mdx
advanced data drift methods,"It discusses advanced customization options for drift detection methods, including PSI and K-L divergence, catering to users familiar with data analysis.",advanced,code,metrics/preset_data_drift.mdx
data summary preset usage example,The article provides a code sample on how to utilize the DataSummaryPreset for evaluating a dataset using the Report class.,beginner,code,metrics/preset_data_summary.mdx
how to run data quality tests with data summary,"It explains how to enable tests within the DataSummaryPreset by passing a reference dataset, auto-generating quality tests during evaluation.",intermediate,code,metrics/preset_data_summary.mdx
data summary preset description,"The article outlines the features of the DataSummaryPreset, including its function to visualize key statistics and enable dataset comparisons for quality assessment.",beginner,text,metrics/preset_data_summary.mdx
Recommender Systems Preset functionality,"The article explains how the Recommender Systems Preset evaluates recommendation quality, using multiple metrics to assess ranking and diversity, particularly focusing on the 'k' parameter for Top-K recommendations.",beginner,text,metrics/preset_recsys.mdx
Top-K recommendations example,"The article provides a Python code example to generate a report for Top-K recommendations using the `RecSysPreset`, demonstrating how to run it on current data.",beginner,code,metrics/preset_recsys.mdx
how to run tests in recommender system,It outlines how to include pass/fail tests in the evaluation of a recommender system using the `Ref` dataset to auto-generate performance tests for the recommendations.,intermediate,code,metrics/preset_recsys.mdx
regression preset overview,"The article covers the Regression Quality Preset, explaining how to evaluate model performance using various metrics and visualizations, as well as how to set up reports with tests.",beginner,text,metrics/preset_regression.mdx
how to run regression report example,"It provides code examples for running a regression report using the `RegressionPreset`, either on a single dataset or comparing it with a reference dataset.",beginner,code,metrics/preset_regression.mdx
customize regression report tests,"The article explains how to customize regression report tests and conditions, allowing users to modify metrics and conditions for improved evaluations.",intermediate,code,metrics/preset_regression.mdx
text evals python example,"The article includes code examples for running the Text Evals Preset on datasets using Python, demonstrating how to generate reports and run evaluations.",beginner,code,metrics/preset_text_evals.mdx
how to use descriptors in text evals,"It explains how to compute and add descriptors to your dataset before running evaluations with Text Evals, and includes links to further resources on descriptors.",beginner,text,metrics/preset_text_evals.mdx
advanced text evals customization options,"The document outlines advanced options for customizing reports with Text Evals, including adding various metrics and modifying test conditions.",advanced,code,metrics/preset_text_evals.mdx
evaluate LLM outputs with Evidently,"The article explains how to use Evidently to automatically evaluate LLM outputs for prompts, models, and tests, ensuring faster iterations and reliable results.",beginner,text,quickstart_llm.mdx
Evidently LLM Cloud setup guide,"It provides a step-by-step guide to set up Evidently Cloud, install necessary libraries, and create projects for local or cloud evaluations.",beginner,code,quickstart_llm.mdx
how to run evaluations on LLM outputs,"The article describes how to prepare datasets, run evaluations using various descriptors, and obtain results using the Evidently library.",intermediate,code,quickstart_llm.mdx
Python install Evidently,Instructions are included for installing the Evidently Python library needed for running evaluations on LLM outputs.,beginner,code,quickstart_llm.mdx
creating evaluation reports in Evidently,"The article details how to create and run reports that summarize evaluation results, which can be visualized locally or uploaded to the cloud.",intermediate,code,quickstart_llm.mdx
custom LLM judge implementation,It offers insights on how to implement custom LLM judges using built-in templates to evaluate question appropriateness based on user-defined criteria.,advanced,code,quickstart_llm.mdx
Evidently dashboard tracking evals,Users can learn how to track evaluation results over time using the Evidently dashboard and set up alerts for performance monitoring.,intermediate,text,quickstart_llm.mdx
examples of descriptors for LLM evaluation,The article includes examples of various descriptors like Sentiment and TextLength that can be used to evaluate LLM responses and enhance analysis.,beginner,code,quickstart_llm.mdx
Integrating tests in LLM evaluations,"It explains how to integrate test conditions within evaluations, such as assessing sentiment and text length to determine if outputs meet criteria.",advanced,code,quickstart_llm.mdx
data drift evaluation example,"The article explains how to run a simple data drift evaluation report using Evidently for tabular data, helping to identify shifts in model quality.",beginner,code,quickstart_ml.mdx
how to set up Evidently for data drift,It details the steps to set up your environment and install the Evidently library needed for data drift evaluation.,beginner,code,quickstart_ml.mdx
check prediction quality in ML,"The article discusses evaluating prediction quality, covering aspects like classification accuracy and other metrics to assess model performance.",intermediate,text,quickstart_ml.mdx
install Evidently library,"Installation instructions for the Evidently library are provided, guiding users through the setup process in a Python environment.",beginner,code,quickstart_ml.mdx
generate data drift report in Python,"The article offers a code snippet for generating a data drift report in Python, illustrating how to use the Evidently library effectively for evaluations.",intermediate,code,quickstart_ml.mdx
customize drift tests in Evidently,"A brief mention is made of customizing drift tests, allowing users to adjust methods and thresholds for tailored data evaluations.",advanced,text,quickstart_ml.mdx
setup tracing for LLM app,"The article explains the steps to set up tracing for an LLM application using Tracely and Evidently, including installation and configuration.",beginner,code,quickstart_tracing.mdx
Evidently Cloud examples,It covers how to use Evidently Cloud to view and evaluate traces generated from an LLM application.,beginner,code,quickstart_tracing.mdx
how to install tracely and evidently,The article lists the installation commands for Tracely and Evidently libraries necessary for tracing LLM apps.,beginner,code,quickstart_tracing.mdx
trace event example in Python,This guide includes Python examples for creating and managing trace events using the Tracely library in conjunction with OpenAI.,intermediate,code,quickstart_tracing.mdx
LLM evaluation methods,"The article discusses how to run evaluations on the traced data using Evidently, showcasing different methods and descriptors for analysis.",advanced,text,quickstart_tracing.mdx
create adversarial test dataset,"The article explains how to create your own adversarial test dataset using Evidently Cloud's UI, including selecting scenarios and configuring settings.",beginner,code,synthetic-data/adversarial_data.mdx
adversarial testing scenarios examples,"It provides various examples of adversarial testing scenarios like harmful content, forbidden topics, and prompt leakage that can be configured for testing AI models.",intermediate,text,synthetic-data/adversarial_data.mdx
generate test cases for AI with examples,The article explains how to create test input cases for AI systems by providing descriptions and examples to generate diverse questions for testing.,beginner,code,synthetic-data/input_data.mdx
how to create synthetic inputs for models,It details the steps to generate synthetic inputs specific to your LLM app context by defining scenarios and example inputs.,intermediate,code,synthetic-data/input_data.mdx
testing AI with synthetic inputs,"The article discusses the advantages of using synthetic inputs for testing AI systems, highlighting how they can improve test coverage.",beginner,text,synthetic-data/input_data.mdx
edge cases in synthetic input generation,It describes how to create adversarial inputs by detailing edge cases to test AI model resilience.,advanced,code,synthetic-data/input_data.mdx
using the Evidently UI for test questions,The article provides a guide on using the Evidently UI to start projects and generate input test cases effectively.,beginner,code,synthetic-data/input_data.mdx
generate synthetic test data examples,"The article provides an overview of creating synthetic test inputs for evaluating AI systems, including practical cases such as experiments and regression testing.",beginner,code,synthetic-data/introduction.mdx
create RAG test dataset example,The article provides a step-by-step guide on generating an effective RAG test dataset by uploading a knowledge base and creating user-like questions with ground truth answers.,beginner,code,synthetic-data/rag_data.mdx
synthetic data for AI evaluation,"The article explains how synthetic data can be utilized to create diverse test datasets for evaluating AI systems, particularly when real data is insufficient or difficult to obtain.",beginner,text,synthetic-data/why_synthetic.mdx
how to generate synthetic test datasets,"It details various methods to create synthetic datasets, highlighting their role in enhancing AI evaluation by allowing for quicker and more varied test cases.",intermediate,code,synthetic-data/why_synthetic.mdx
